ID,title,image_link,platform1,platform2,platform3,platform4,platform5,platform6,score
149,Battlefield Hardline,https://upload.wikimedia.org/wikipedia/en/thumb/a/aa/Battlefield_Hardline.jpg/220px-Battlefield_Hardline.jpg,PS4\,PS3\,Xbox360\,XboxOne,na,na,0.453709184
150,Battle Garegga Rev.2016,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Battle_Garegga_arcade_flyer.jpg/220px-Battle_Garegga_arcade_flyer.jpg,PS4\,XboxOne,na,na,na,na,6.79E-05
151,Battleship,unreleased,PS4\,PS3\,Xbox360\,XboxOne,na,na,0.041744699
152,Battlestar Galactica: Deadlock,unreleased,PS4\,XboxOne,na,na,na,na,0.006879821
153,Battle Worlds: Kronos,unreleased,PS4\,XboxOne,na,na,na,na,0.002105672
154,Bears Can't Drift!?,unreleased,PS4,na,na,na,na,na,0.054039105
155,Beast Quest,unreleased,PS4\,XboxOne,na,na,na,na,0.052991121
156,Beat the Game,unreleased,PS4\,XboxOne,na,na,na,na,0.003153656
157,Bendy and the Ink Machine,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Bendy_and_the_Ink_Machine.png/220px-Bendy_and_the_Ink_Machine.png,PS4\,Switch\,XboxOne,na,na,na,0.003153656
158,Berserk and the Band of the Hawk,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Berserk_and_the_Band_of_the_Hawk_cover_art.jpg/220px-Berserk_and_the_Band_of_the_Hawk_cover_art.jpg,PS4,na,na,na,na,na,0.001989229
159,Beyond Eyes,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/BeyondEyes.jpg/220px-BeyondEyes.jpg,PS4\,XboxOne,na,na,na,na,0.06234535
160,Beyond: Two Souls,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Beyond_Two_Souls_final_cover.jpg/220px-Beyond_Two_Souls_final_cover.jpg,PS4\,PS3,na,na,na,na,0.06758527
161,Big Bash Boom,unreleased,PS4,na,na,na,na,na,0.000815099
